css-901oao,css-4rbku5 href,UserId,Tweet_Url,Date,Tweets,Comments,Retweets,Likes,Likes
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1404004378080550913,"Jun 13, 2021",Join Meeeee,3,6,92,-
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1403626503875842052,"Jun 12, 2021","Just posted a photo @ Los Angeles, California",23,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1403604109433901057,"Jun 12, 2021",Just posted a video,1,26,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1402563274059751427,"Jun 9, 2021",I am not a morning person and definitely not even a person before my coffee,2,1,27,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1402563232473231362,"Jun 9, 2021","Love yourself enough to walk away from anything that doesn’t 
Respect you, 
Value you or 
Love you",13,,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1401815089783656449,"Jun 7, 2021",Mood : Happy Kitty,1,23,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1400753885396996098,"Jun 4, 2021",Never forget how wildly capable you are,16,,,
"@ Los Angeles, California",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1400682547919704065,"Jun 4, 2021",Ahhh so manyyyy but I’ll tag my favorite @nyelakapadia,1,29,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1400368985217155072,"Jun 3, 2021",This,1,21,,campaign was everything
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1399252539766415367,"May 31, 2021","Just posted a photo @ Los Angeles, California",1,28,,
"@ Los Angeles, California",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1398565122801602565,"May 29, 2021","So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about",2,25,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1397821034011762690,"May 27, 2021",Just posted a video,1,30,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1397416609208279041,"May 26, 2021","“When I used to read fairy tales, I fancied that kind of thing never happened, and now here I am in the middle of one!”",3,39,,"@ Los Angeles, California"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1397122394486157313,"May 25, 2021","This journey itself 
is my Home",2,21,,“Never get so busy making a living that you forget to make a life”
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1396011394454130688,"May 22, 2021",,2,24,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1395619856087613440,"May 21, 2021",Sometimes you block your blessings because your ego won’t let you get help,3,4,56,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1395594820027129859,"May 21, 2021",HAAAAAPPPPPPYYYYY FRIYAAAAY,1,1,31,Imma send you sooooo much
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1395307618961403905,"May 20, 2021",Why I don’t have a boyfriend,2,2,27,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1394921459240341510,"May 19, 2021",Will you?,2,23,,Throw back to feeling beautiful in
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1394556540288262150,"May 18, 2021","So you might feel like you have it easier than others, but then again someone has it better than you, you are always allowed to feel your emptiness",2,42,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1394204701105721345,"May 17, 2021","Whatever our souls are made of, hers and mine are the same",3,1,30,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1394148468260839427,"May 17, 2021",Just posted a video,1,1,29,
"for a short, quick, fun and THE PERFECT WEEKEND WORKOUT",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1393111117640081408,"May 14, 2021",Finallyyyyy got myself to do an,1,3,29,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392766816859029508,"May 13, 2021","Your time here is precious. Each passing moment spent over thinking is your life passing by. Live in the now, it’s all we’ll ever have",2,33,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392741931554385926,"May 13, 2021","All the World is made of Faith, Love and a little bit of Pixie Dust",1,1,22,Have a beautiful day you sweet humans
,https://twitter.com/fpjindia,@fpjindia,https://twitter.com/fpjindia/status/1392673037967716354,"May 13, 2021","2021: Aly Goni, Aamir Ali, Rakshanda Khan and other celebs share what their plans are for the day",2,4,26,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392395454600654849,"May 12, 2021",Just posted a video,1,3,25,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392395203265372160,"May 12, 2021",Just posted a video,1,3,21,
https://,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392355748169068547,"May 12, 2021","We are all in this together! 

Find a Bed is such a thoughtful Initiative by",1,3,22,?igshid=o7f3zwdj4we8
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1392161636195082241,"May 11, 2021",Stop letting your mind tell you otherwise. It  knows only what you tell it. Give your mind a sexy version of you,2,4,50,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1391801481192300545,"May 10, 2021",People around you need you more than you think. Even if all you can share today is some kindness.,3,4,75,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1391334659276029953,"May 9, 2021",Just posted a video,1,1,26,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1391329123428184065,"May 9, 2021",Just posted a photo @ Lake Balboa Running Trails,3,1,27,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1390957395094884357,"May 8, 2021",What you love to do the most is the shortest distance between where you are now and your dreams,1,2,31,Photography by
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1390598738737958914,"May 7, 2021",,3,5,111,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1390204664679895040,"May 6, 2021","I love dressing up so much and 
I absolutely love what I do",3,27,,"Aaah did you say I have only 
2 hours for Hair and Make Up? Sure, let’s go"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389887263140564994,"May 5, 2021","Just posted a photo @ Los Angeles, California",1,17,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389841620812455937,"May 5, 2021",,3,3,121,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389808761917816834,"May 5, 2021",Are you two my favorite or are you TWO MY FAVORITEEEEE,1,1,16,@navindhyaniphoto
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1390598738737958914,"May 7, 2021",,3,5,111,
,https://twitter.com/justinbaldoni,@justinbaldoni,https://twitter.com/justinbaldoni/status/1387104361944428546,"Apr 27, 2021","The day is finally here: Man Enough is officially out in the world, and I am officially in all of my feelings! THANK YOU for your support. Here’s to our collective journey to enoughness.",31,98,353,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389465023727259649,"May 4, 2021",It’s always from the inside to the outside. Stop living your life in reverse,2,4,77,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389109780715687936,"May 3, 2021",And we will lie down on the ground and have conversations with the grasses and the flowers,11,18,368,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1390598738737958914,"May 7, 2021",,3,5,111,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389841620812455937,"May 5, 2021",,3,3,121,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389107716476526594,"May 3, 2021",And we will lie down on the ground and have conversations with the grasses and the flowers,1,4,19,.
This Post is from a suspended account.,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1388862055583666179,"May 2, 2021","Just hang in there, everything will be okay :(",2,1,17,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1389841620812455937,"May 5, 2021",,3,3,121,
,https://twitter.com/justinbaldoni,@justinbaldoni,https://twitter.com/justinbaldoni/status/1387104361944428546,"Apr 27, 2021","The day is finally here: Man Enough is officially out in the world, and I am officially in all of my feelings! THANK YOU for your support. Here’s to our collective journey to enoughness.",31,98,353,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1388735589520875522,"May 2, 2021",Breathe. I know it’s been crazy. But it’s also powerfully beautiful. Your breath is fueling life into you this very moment,2,4,68,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1388354756997955586,"May 1, 2021",,1,21,,"@ Los Angeles, California"
"⁠
⁠
1 person dies every 5 minutes in India from Covid 19",https://twitter.com/jayshetty,@jayshetty,https://twitter.com/jayshetty/status/1388175672682684416,"Apr 30, 2021",Donate NOW,41,324,718,
,https://twitter.com/justinbaldoni,@justinbaldoni,https://twitter.com/justinbaldoni/status/1387104361944428546,"Apr 27, 2021","The day is finally here: Man Enough is officially out in the world, and I am officially in all of my feelings! THANK YOU for your support. Here’s to our collective journey to enoughness.",31,98,353,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1387985972554616834,"Apr 30, 2021","Just posted a photo @ Los Angeles, California",3,26,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1387985972072128512,"Apr 30, 2021","Just posted a photo @ Los Angeles, California",1,10,,
".
.
.",https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1386567720913707009,"Apr 26, 2021",700k YAY,2,19,,
and,https://twitter.com/HopOnTheCall,@HopOnTheCall,https://twitter.com/HopOnTheCall/status/1385056095744319490,"Apr 22, 2021",Welcome Sana Saeed (,3,17,,") to the HopOnTheCall team!

Sana Saeed is an actress and model who has appeared in"
"', 'Student of the Year', 'Fugly', 'Jhalak Dikhhla Jaa'  and more.

Connect with her directly on the Celebfie App.",https://twitter.com/Celebfieapp,@Celebfieapp,https://twitter.com/Celebfieapp/status/1386288888541585409,"Apr 25, 2021",We're super stoked to have our favourite Anjali aka,1,11,,on our Celebfie app!
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1386321124783394819,"Apr 25, 2021","I am so grateful today. And I have so many things right now, to not be grateful for, but I’ll choose wisely",4,52,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1385901175535329280,"Apr 24, 2021","Okay I LOVE THIS SONG!
And I am still not OVER IT",1,1,24,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1385215092078297089,"Apr 22, 2021","It’s okay,",2,16,,","
and,https://twitter.com/HopOnTheCall,@HopOnTheCall,https://twitter.com/HopOnTheCall/status/1385056095744319490,"Apr 22, 2021",Welcome Sana Saeed (,3,17,,") to the HopOnTheCall team!

Sana Saeed is an actress and model who has appeared in"
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1385156222777712640,"Apr 22, 2021","Even if you can’t see this for others, just know, it’s been awhile since things have felt easy for most of us. It’s okay, we got this, you got this",4,20,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384998535872008198,"Apr 22, 2021",,3,22,,
"', 'Student of the Year', 'Fugly', 'Jhalak Dikhhla Jaa'  and more.

Connect with her directly on the Celebfie App.",https://twitter.com/Celebfieapp,@Celebfieapp,https://twitter.com/Celebfieapp/status/1386288888541585409,"Apr 25, 2021",We're super stoked to have our favourite Anjali aka,1,11,,on our Celebfie app!
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384998535872008198,"Apr 22, 2021",,3,22,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384799824378220545,"Apr 21, 2021","We could never learn to be brave and patient, if there were only joy in the world",5,2,143,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384798384909819909,"Apr 21, 2021","We could never learn to be brave and patient, if there were only joy in the world",9,,,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384456196837437450,"Apr 20, 2021",Just posted a photo,1,20,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384437740952080384,"Apr 20, 2021","Stop caring about what others think of you, and start caring about what you think of you",6,55,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384435111249203200,"Apr 20, 2021",,1,2,97,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384121819444092928,"Apr 19, 2021",Just posted a video,16,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384087839042719757,"Apr 19, 2021","Finally the most delicious way to get Apple Cider Vinegar   in :) 
Get your @GoliGummy at a 10% discount by using my 
PROMO CODE: sanasaeed
Or link below",1,1,55,ACV PROMO LINK:
,https://twitter.com/realNDWalsch,@realNDWalsch,https://twitter.com/realNDWalsch/status/1383993760913129479,"Apr 19, 2021",Just be with yourself and be curious about yourself and ask yourself questions about yourself.,7,59,391,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384435111249203200,"Apr 20, 2021",,1,2,97,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1383746528666214405,"Apr 18, 2021","The real question to ask yourself is - 
How well can I suffer?",1,1,30,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1383703926659186689,"Apr 18, 2021",Eventually you will see that the real cause of problem is not life itself. It's the commotion the mind makes about life that really causes the problems,5,6,161,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1383003101234397184,"Apr 16, 2021",Shoot for,4,4,191,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1384435111249203200,"Apr 20, 2021",,1,2,97,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1382637301709242373,"Apr 15, 2021",Just posted a video,1,28,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1382275253917917187,"Apr 14, 2021","Finally the most delicious way to get Apple Cider Vinegar   in :) 
Get your @GoliGummy at a 10% discount by using my 
PROMO CODE: sanasaeed
Or link below",1,2,69,ACV PROMO LINK:
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1381937228797071366,"Apr 13, 2021",Make time for you,1,3,26,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1381559847649431552,"Apr 12, 2021",It's ok to be human,1,19,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1381218415117996035,"Apr 11, 2021",Yes,17,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1381174052044353536,"Apr 11, 2021","The best of my essence is shown to those who value my energy and appreciate my love, some would call it selfish, I call it selective",1,4,169,"@nikkirowe_author 
."
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1381172399022936065,"Apr 11, 2021",Just posted a photo,1,1,22,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1380831911115886595,"Apr 10, 2021",And we are LIVE -,1,9,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1380829802932895745,"Apr 10, 2021",Just posted a photo,1,1,17,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1380489118141067264,"Apr 9, 2021",Opportunity,13,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1380108787365814272,"Apr 8, 2021","Don't be satisfied with stories, how things have gone with others. 
Unfold your own myth",4,3,194,
ની ક્યૂટનેસને લોકો ભૂલી શક્યા નથી.,https://twitter.com/Zee24Kalak,@Zee24Kalak,https://twitter.com/Zee24Kalak/status/1380064015037030402,"Apr 8, 2021",'કુછ-કુછ હોતા હૈ',1,16,,ફિલ્મ રિલીઝ થયે 22 વર્ષ પૂર્ણ થયા પણ ફિલ્મના દરેક પાત્રો લોકોને આજે પણ યાદ છે. શાહરૂખ ખાનની
and,https://twitter.com/celewish,@celewish,https://twitter.com/celewish/status/1375483657784193027,"Mar 26, 2021","Now surprise your loved once with video wishes at FLAT500.
Yes this is true.
Logon",3,7,,& book your request.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1380100435919450119,"Apr 8, 2021",Just posted a photo,11,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1379732408774369283,"Apr 7, 2021",Just posted a photo,1,20,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1379367212981567489,"Apr 6, 2021","Don't be satisfied with stories, how things have gone with others. 
Unfold your own myth",2,19,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1378246888600842240,"Apr 3, 2021","“One of the most courageous things you can do is identify yourself, know who you are, what you believe in and where you want to go.”",1,18,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1376095069363658753,"Mar 28, 2021",,2,15,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1375002252524552196,"Mar 25, 2021",,13,,,Unveiled the new
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1374986125618638848,"Mar 25, 2021",,1,3,20,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1373903332406857729,"Mar 22, 2021",Just posted a video,1,1,30,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1366649599037947906,"Mar 2, 2021",Happyyyyy Tuesday,18,,,Let’s Goooooooo
and,https://twitter.com/IIFA,@IIFA,https://twitter.com/IIFA/status/1366337552307818496,"Mar 1, 2021","Our child actors have all grown up, and this is what they are up to these days! 

Click here to check out 9 child actors Then Vs. Nows!",4,48,,
,https://twitter.com/DelhiTimesTweet,@DelhiTimesTweet,https://twitter.com/DelhiTimesTweet/status/1364211253485260803,"Feb 23, 2021",A look at how the careers of famous child actors have progressed over the years,2,20,Famous child stars and where they are now,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1364853643598569474,"Feb 25, 2021",Always,1,1,28,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1361957398387195909,"Feb 17, 2021",Just posted a photo,21,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1361628232806637572,"Feb 16, 2021",Just posted a photo,2,2,39,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1359783557447745539,"Feb 11, 2021",Is,1,26,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1359424839552032769,"Feb 10, 2021",Play the lead in your own story,24,,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1359055452416344064,"Feb 9, 2021","What you think about constantly, what you constantly talk about. Is going to come back into your life",1,21,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1356533635172753411,"Feb 2, 2021","Who’s ready for the Best Workout Session Everrrr!!!?????
MEEEEEEEEEEEEEEEE",2,2,27,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1355466843947999232,"Jan 30, 2021",Just posted a photo,1,2,24,
GIVE THEM YOUR,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1354753183764111360,"Jan 28, 2021",A good year to have found out who is truly your person,1,1,23,#2020 Taught me REAL
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1354363834799181824,"Jan 27, 2021",Miracles can sometimes happen overnight,1,2,31,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1354001211276599296,"Jan 26, 2021",,1,4,26,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1352546966052298753,"Jan 22, 2021",Just posted a photo,1,2,29,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1349647206542954496,"Jan 14, 2021",but glance back occasionally to remind yourself where you came from and where you are going,2,21,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1349274748002308096,"Jan 13, 2021",Just give me,1,26,,and nobody gets hurt
hindi/bollywood/news/exclusive-sana-saeed-i-want-to-work-with-jake-gyllenhaal-and-aamir-khan/articleshow/80137065.cms,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1348936966306467841,"Jan 12, 2021",,1,14,,@sanasaeed17
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1348927273349611525,"Jan 12, 2021",,1,27,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1348223860102062082,"Jan 10, 2021",,3,5,86,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1348223860102062082,"Jan 10, 2021",,3,5,86,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1347845485881683971,"Jan 9, 2021",I mean we’ll buy sweatpants anyway but JAAAAAST LEMMMME KNOWWWWWW,1,2,30,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1347109400268468226,"Jan 7, 2021","If it doesn't come bursting out of you
in spite of everything,
don't do it.
Unless it comes unasked out of your
heart and your mind and your mouth
and your gut,
don't do it",7,8,181,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1347105746589155341,"Jan 7, 2021","If it doesn't come bursting out of you
in spite of everything,
don't do it.
Unless it comes unasked out of your
heart and your mind and your mouth
and your gut,
don't do it",1,1,25,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1345674528479961091,"Jan 3, 2021",Just posted a photo,4,3,37,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1348223860102062082,"Jan 10, 2021",,3,5,86,
,https://twitter.com/simonsinek,@simonsinek,https://twitter.com/simonsinek/status/1345470925634998274,"Jan 3, 2021","Life is not a competition, it's a game. It's not about winning or losing, it's about all the fun we can have before it ends.",118,1.9K,7.9K,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1344928542736445440,"Jan 1, 2021",Just posted a video,2,1,32,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1344571901243494400,"Dec 31, 2020","I hope 2021 attracts all the happiness and Joy, you’ve been longing for and I hope on days you don’t feel so good, you will still choose to be happy with the little things",9,9,176,Happiness lies in paying attention to the daily details of your life
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1344198123183353857,"Dec 30, 2020","You work on her, for her",2,22,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1343484151119437824,"Dec 28, 2020",,1,7,54,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1343483066610757632,"Dec 28, 2020","You work on her, for her",2,23,,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1343129465182953472,"Dec 27, 2020","I don't look for love. Love looks for me."" ""Why?"" ""Because it needs me. Because I'm not afraid of it",5,10,270,.
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1342756935926489089,"Dec 26, 2020",OH NOO!!!,3,21,,Mwahahahahahahahaha
1m/?igshid=e6jvlp9qpwgd,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1342081604668145665,"Dec 24, 2020",Our new songgggg,3,25,,youtube.com
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1341719803963256833,"Dec 23, 2020",“The greatest thing you can give yourself is freedom from what others think.”,2,8,72,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1341719409941995520,"Dec 23, 2020",,2,11,,
,https://twitter.com/glamsham,@glamsham,https://twitter.com/glamsham/status/1341615556647129088,"Dec 23, 2020","Ab Kya Jaan Legi Meri teaser: Rashami Desai, Shaheer Sheikh, Sana Saeed and Palaash Muchhal flaunt their dance moves",23,111,137,
@Shaheer_S,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1341342099850014722,"Dec 22, 2020",youtu.be/8TTDLBL9fPc,4,29,,@sanasaeed17
,https://twitter.com/Palash_Muchhal,@Palash_Muchhal,https://twitter.com/Palash_Muchhal/status/1341020069782900736,"Dec 21, 2020",This Christmas NO more drama No babu shona,103,282,1.4K,Teaser coming out tomorrow!!!
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1341021307346046976,"Dec 21, 2020",Teaser coming out tomorrow!!!,52,205,1.6K,
@saurabh_prajapati24,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1341019977437077508,"Dec 21, 2020",Teaser coming out tomorrow,1,33,85,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1340573747363913729,"Dec 20, 2020",Ah People like these,1,3,29,Tag someone that makes you feel safe
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1338827241317392384,"Dec 15, 2020",Ab Kya Jaan Legi Meri?,63,214,1.8K,Let's end 2020 with a BANG and Get Ready for a Super Smashing Christmas Surprise!
,https://twitter.com/glamsham,@glamsham,https://twitter.com/glamsham/status/1338376519404568577,"Dec 14, 2020","Ab Kya Jaan Legi Meri poster out: Rashami Desai, Shaheer Sheikh, Sana Saeed and Palash Muchhal flaunt their hip-hop look",36,132,363,
,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1338824330776621058,"Dec 15, 2020",Just posted a photo,1,1,25,
,https://twitter.com/Palash_Muchhal,@Palash_Muchhal,https://twitter.com/Palash_Muchhal/status/1338113548417810432,"Dec 13, 2020",Ab Kya Jaan Legi Meri?,50,186,371,Let's end 2020 with a BANG and Get Ready for a Super Smashing Christmas Surprise!
